ko_symbol,se_deg_overlapped
Cd2bp2,Rps6kc1
Cd2bp2,Uap1
Cd2bp2,Nmt2
Cd2bp2,Kif4
Cd2bp2,Hsdl2
Cd2bp2,Ufsp2
Cd2bp2,Mcph1
Cd2bp2,Mcoln1
Cd2bp2,Zmym2
Cd2bp2,Pbrm1
Cd2bp2,Slc22a17
Cd2bp2,Cd276
Cd2bp2,Tada2a
Cd2bp2,Selenoo
Cd2bp2,Mtdh
Cd2bp2,Trappc8
Cd2bp2,Ganab
Qk,Cyb5r1
Qk,Igsf9
Qk,Mrgbp
Qk,Pkig
Qk,Kif4
Qk,Kdm5c
Qk,Ythdf3
Qk,Uspl1
Qk,Pole
Qk,Atraid
Qk,Acads
Qk,Plxna1
Qk,Sgce
Qk,Gapdh
Qk,Gmfg
Qk,Serpinh1
Qk,Supt5
Qk,Zfp930
Qk,Sugp2
Qk,Katnb1
Qk,Setd6
Qk,Syce2
Qk,Zdhhc20
Qk,Sec24c
Qk,Lztfl1
Qk,Dhrs13
Qk,Ptk2
Qk,Donson
Qk,Nit2
Qk,Dlg1
Qk,Kctd20
Qk,Gm20517
Qk,Cbwd1
Qk,Gm49405
Qk,Cdc37l1
Rbm24,Enah
Rbm24,Rps6kc1
Rbm24,Dst
Rbm24,Dnttip1
Rbm24,Slc2a8
Rbm24,Kif4
Rbm24,Trappc14
Rbm24,Gtf2i
Rbm24,Tm2d3
Rbm24,Serpinh1
Rbm24,Wwc2
Rbm24,Mcoln1
Rbm24,Rfx1
Rbm24,Wapl
Rbm24,Unk
Rbm24,Wbp2
Rbm24,Armc7
Rbm24,Gpatch2l
Rbm24,Fancm
Rbm24,Card10
Rbm24,Chrd
Rbm24,Adamts10
Rbm24,Bag6
Rbm24,Greb1l
Rbm24,Mms19
Rbm24,Kdm2a
Rpl22l1,Arfgap1
Rpl22l1,Itch
Rpl22l1,Nnat
Rpl22l1,Dnttip1
Rpl22l1,Tasp1
Rpl22l1,Kif4
Rpl22l1,Atp8b2
Rpl22l1,Rere
Rpl22l1,Map7d1
Rpl22l1,Chfr
Rpl22l1,Rbm47
Rpl22l1,Fancd2
Rpl22l1,Ctsc
Rpl22l1,Agpat3
Rpl22l1,Mcoln1
Rpl22l1,Cherp
Rpl22l1,Zfp219
Rpl22l1,Ap3m1
Rpl22l1,Flnb
Rpl22l1,Dlg5
Rpl22l1,Ppm1m
Rpl22l1,Ppcdc
Rpl22l1,Gm40864
Rpl22l1,Gstz1
Rpl22l1,Ifrd1
Rpl22l1,Mtdh
Rpl22l1,Pcbp2
Rpl22l1,Cacnb3
Rpl22l1,Dnaja3
Rpl22l1,Txnrd2
Rpl22l1,Hnrnpm
Rpl22l1,Gm20517
Rpl22l1,Fam234a
Rpl22l1,Fgf8
Spen,Stard8
Spen,Kif4
Spen,Kdm5c
Spen,Rere
Spen,Epb41
Spen,Zfp326
Spen,Sfswap
Spen,Gusb
Spen,Ccdc136
Spen,Sec23ip
Spen,Meis3
Spen,Clcn4
Spen,Hnrnpl
Spen,Mdm2
Spen,Plpp2
Spen,Dus2
Spen,Tmem161a
Spen,Sugp2
Spen,Ttc13
Spen,Setd6
Spen,Mcoln1
Spen,Rad23a
Spen,Zmym2
Spen,Pbrm1
Spen,Prxl2a
Spen,Rnf214
Spen,Golga4
Spen,Smg6
Spen,Faf2
Spen,Actn1
Spen,Donson
Spen,Ntan1
Spen,Gm20517
Spen,Bin1
Spen,Mtpap
Spen,Eml3
Strap,Eloc
Strap,Fn1
Strap,Gas5
Strap,Mettl5
Strap,Rbm39
Strap,Gabpb1
Strap,Slc2a8
Strap,Tmem164
Strap,Prps2
Strap,Rnf115
Strap,Trim33
Strap,Btf3l4
Strap,Arid1a
Strap,Itgb3bp
Strap,Tstd2
Strap,Otud6b
Strap,Hnrnpdl
Strap,Mpv17
Strap,Gtf2i
Strap,Hnrnpa2b1
Strap,Pradc1
Strap,Cecr2
Strap,Ccdc136
Strap,Cttn
Strap,Tmc4
Strap,Plekha1
Strap,Chmp2a
Strap,Krr1
Strap,Csnk1g2
Strap,Setd6
Strap,Pbrm1
Strap,Zfp219
Strap,Prxl2a
Strap,Nme6
Strap,Oaz2
Strap,Ilf3
Strap,Llgl2
Strap,Eif5a
Strap,Sec14l4
Strap,Fam120a
Strap,Bphl
Strap,Nsd1
Strap,Pdlim7
Strap,Gemin2
Strap,Nudt14
Strap,Atg3
Strap,Ift57
Strap,Tmem63b
Strap,Ehmt2
Strap,Atat1
Strap,Mtpap
Strap,Fgf8
Strap,Tcf7l2
Strap,Kdm2a
Tra2b,Nbeal1
Tra2b,Rnpep
Tra2b,Rexo4
Tra2b,Tpd52l2
Tra2b,Nnat
Tra2b,Pex2
Tra2b,Efna3
Tra2b,Necap2
Tra2b,Map7d1
Tra2b,Hsdl2
Tra2b,Uba6
Tra2b,Rbm47
Tra2b,Bid
Tra2b,Sgce
Tra2b,Ypel3
Tra2b,Meis3
Tra2b,Zc3h10
Tra2b,Mknk2
Tra2b,Ufsp2
Tra2b,Cln8
Tra2b,4921524J17Rik
Tra2b,Mbtps1
Tra2b,Irx3
Tra2b,Cars2
Tra2b,Nae1
Tra2b,Plpp5
Tra2b,Gse1
Tra2b,Mthfsd
Tra2b,Adgrl1
Tra2b,Rad23a
Tra2b,Sucla2
Tra2b,Pbrm1
Tra2b,Pkm
Tra2b,Mapk9
Tra2b,Aspscr1
Tra2b,Nnt
Tra2b,Ubqln1
Tra2b,Ifrd1
Tra2b,Tedc1
Tra2b,Gtpbp1
Tra2b,Tra2b
Tra2b,Tmem63b
Tra2b,Ndfip1
Tra2b,Osbpl1a
Tra2b,Fgf8
Tra2b,Stx3
Trim71,Myef2
Trim71,Miip
Trim71,Itgb3bp
Trim71,Gak
Trim71,Abraxas1
Trim71,Uba3
Trim71,Zfp330
Trim71,Hpf1
Trim71,Znrf1
Trim71,Coq9
Trim71,Setd6
Trim71,Emc8
Trim71,Mthfsd
Trim71,Syce2
Trim71,Rcbtb2
Trim71,Rbm7
Trim71,Zdhhc3
Trim71,Slc38a10
Trim71,Cep95
Trim71,Mrps23
Trim71,Ggps1
Trim71,Nol10
Trim71,Pxdn
Trim71,Ptk2
Trim71,Fam91a1
Trim71,Cuta
Trim71,Cemip2
Ubr5,Smap1
Ubr5,Kctd3
Ubr5,Pbx1
Ubr5,Tyro3
Ubr5,Ndor1
Ubr5,Snhg17
Ubr5,Magt1
Ubr5,Kif4
Ubr5,Tmem234
Ubr5,Hnrnpdl
Ubr5,Mpv17
Ubr5,Phc1
Ubr5,Plxna1
Ubr5,Setd5
Ubr5,Fbxl19
Ubr5,C2cd3
Ubr5,Mdm2
Ubr5,4921524J17Rik
Ubr5,Insr
Ubr5,Mcoln1
Ubr5,Piezo1
Ubr5,Slain1
Ubr5,Hmbox1
Ubr5,Dlg5
Ubr5,Acin1
Ubr5,Uaca
Ubr5,Pcsk7
Ubr5,Taf15
Ubr5,Bptf
Ubr5,Igf2bp1
Ubr5,Fancm
Ubr5,Snx13
Ubr5,Ypel1
Ubr5,Ddx11
Ubr5,Gnptg
Ubr5,Eml4
Ubr5,Rgl2
Ubr5,Srfbp1
Ubr5,Ganab
Wt1,Clasp1
Wt1,Jmjd7
Wt1,Src
Wt1,Cdin1
Wt1,Egfl7
Wt1,Surf1
Wt1,Dolpp1
Wt1,Prps2
Wt1,Efnb1
Wt1,Tmem234
Wt1,Dnajc8
Wt1,Hnrnpdl
Wt1,Sfswap
Wt1,Recql
Wt1,Lrig1
Wt1,Rhno1
Wt1,Josd2
Wt1,Fbxl19
Wt1,Cog7
Wt1,Tmem80
Wt1,Meis3
Wt1,Stk11
Wt1,Frs2
Wt1,Znrf1
Wt1,Mcoln1
Wt1,Mthfsd
Wt1,Prkcd
Wt1,Prxl2a
Wt1,Flnb
Wt1,Slc35f2
Wt1,Uaca
Wt1,Kif23
Wt1,Oxsr1
Wt1,Helz
Wt1,Mettl16
Wt1,Prkar2b
Wt1,Rin3
Wt1,Dnmt3a
Wt1,Mtdh
Wt1,Azin1
Wt1,Nr4a1
Wt1,Ltn1
Wt1,Fam234a
Wt1,Tmx3
Wt1,Uhrf2
Wt1,Dnajc4
Ybx1,Dnttip1
Ybx1,Slc2a8
Ybx1,Pdcl
Ybx1,Maco1
Ybx1,Ybx1
Ybx1,Ube2j1
Ybx1,Cdk11b
Ybx1,Rnf4
Ybx1,Tmed5
Ybx1,Hnrnpdl
Ybx1,Phc1
Ybx1,Setd5
Ybx1,Fbxo17
Ybx1,Usf2
Ybx1,E2f8
Ybx1,Ptdss2
Ybx1,Prdm4
Ybx1,Krr1
Ybx1,Scamp4
Ybx1,Ctcf
Ybx1,Tfdp1
Ybx1,Hpf1
Ybx1,Irx3
Ybx1,Tm2d2
Ybx1,Rbm34
Ybx1,Ssbp4
Ybx1,Rad23a
Ybx1,Pibf1
Ybx1,Slc7a7
Ybx1,Dlg5
Ybx1,Scamp2
Ybx1,Smarcc1
Ybx1,Cadm1
Ybx1,Clasp2
Ybx1,Grb7
Ybx1,Nbr1
Ybx1,Suz12
Ybx1,Rps6kb1
Ybx1,Zmiz2
Ybx1,Dhrs13
Ybx1,Gemin2
Ybx1,Strn3
Ybx1,Rbm25
Ybx1,Arid1b
Ybx1,Rpl10a
Ybx1,Gm20517
Ybx1,Dennd10
Ybx1,Fgf8
Ybx1,Cdc37l1
